,jokes,whtsapp_lnk
735,"Winter Shayeri.. . Baghair Kambal K So Rahy Thy Mehmood Aur Ayaaz, , , , , Wah Wah , , , , , Baghair Kambal K So Rahy Thy Mehmood Aur Ayaaz!! . . . Full Speed me Pankha Khol k Bhaag Gaya FARAZ..:p Wah wah wah.. Mehfil loot Li Zaalim.:-) (,"") /)(\, YaaHOoo.. ,/>","https://api.whatsapp.com/send?text=Winter%20Shayeri..

.

Baghair%20Kambal%20K%20So%20Rahy%20Thy
Mehmood%20Aur%20Ayaaz,
,
,
,
,
Wah%20Wah
,
,
,
,
,
Baghair%20Kambal%20K%20So%20Rahy%20Thy
Mehmood%20Aur%20Ayaaz!!

.
.
.
Full%20Speed%20me%20Pankha%20Khol%20k%20
Bhaag%20Gaya%20FARAZ..:p

Wah%20wah%20wah..

Mehfil%20loot%20Li%20Zaalim.:-)

(,"")
/)(\,%20YaaHOoo..
,/>"
736,"Bivi Apny Shoher se: Aap ko Birthday per kiya Gift kerun?? Shoher: Aap Bas mujhy piyar se dekha karen, Meri Izzat karen, Baat tameez se Kiya Karen, Aur Lara Mat karen, Ye hi Kaafi Hai. Bivi: Nahi, nahi Me to gift hi Dungi...;-p:-)","https://api.whatsapp.com/send?text=Bivi%20Apny%20Shoher%20se:%20Aap%20ko%20Birthday%20per%20kiya%20Gift%20kerun??

Shoher:%20Aap%20Bas%20mujhy%20piyar%20se%20dekha%20karen,
Meri%20Izzat%20karen,
Baat%20tameez%20se%20Kiya%20Karen,
Aur%20Lara%20Mat%20karen,%20
Ye%20hi%20Kaafi%20Hai.


Bivi:

Nahi,%20nahi%20Me%20to%20gift%20hi%20Dungi...;-p:-)"
737,"At a wedding Me: Aage ka kiya plan hai? Cousin: pehle engineering, phir PHD, phir MBA ka socha hai, aur ap? Me: Qourma khane ka socha hai 😉","https://api.whatsapp.com/send?text=At%20a%20wedding

Me:%20Aage%20ka%20kiya%20plan%20hai?

Cousin:%20pehle%20engineering,

phir%20PHD,%20phir%20MBA%20ka%20socha%20hai,%20aur%20ap?

Me:%20Qourma%20khane%20ka%20socha%20hai%20😉"
738,Child 2 dentist doctor..!!! Kya dard k baigar bhi daant nikalay ja saktay hain ?? Dr: nahi Child: ager main nikal k dikhao Dr: nikaloo Child: he he he he he he,"https://api.whatsapp.com/send?text=Child%202%20dentist%20doctor..!!!
Kya%20dard%20k%20baigar%20bhi%20daant%20nikalay%20ja%20saktay%20hain%20??
Dr:%20nahi

Child:%20ager%20main%20nikal%20k%20dikhao
Dr:%20nikaloo

Child:%20he%20he%20he%20he%20he%20he"
739,"1 Chor Ek larkay ka Mobile le ker Bhag Gaya, Larka Hansny Laga. Dost: Wo Tumhara Mobile le ker Bhaga aur Tum Hans rahy ho? Larka: Bhagny Do, Charger to Mere Pass Hai...;-p:-)","https://api.whatsapp.com/send?text=1%20Chor%20Ek%20larkay%20ka%20Mobile%20le%20ker%20Bhag%20Gaya,

Larka%20Hansny%20Laga.

Dost:%20Wo%20Tumhara%20Mobile%20le%20ker%20Bhaga%20aur%20Tum%20Hans%20rahy%20ho?

Larka:%20Bhagny%20Do,%20Charger%20to%20Mere%20Pass%20Hai...;-p:-)"
740,"Shadi me Ek admi bohat Dair Tak Khana Khata raha.. Kisi ny Pucha: Kab Tak Khao gy?? Admi: O Yara, Hum to Khud Thak Gaya hai Magar Card per Likha Tha, , , , DINNER:- 9 se 11 baje tak...:-)","https://api.whatsapp.com/send?text=Shadi%20me%20Ek%20admi%20bohat%20Dair%20Tak%20Khana%20Khata%20raha..

Kisi%20ny%20Pucha:%20Kab%20Tak%20Khao%20gy??

Admi:%20O%20Yara,%20Hum%20to%20Khud%20Thak%20Gaya%20hai%20Magar

Card%20per%20Likha%20Tha,

,

,

,

DINNER:-%209%20se%2011%20baje%20tak...:-)"
741,"Sir: Apka Beta Cigarette Pita Hai. Aap Kabhi Use Puchhte Nahi ? Sardar: Haan, Puchhta Hu, Par Mujhe Kabhi Deta Hi Nahi..","https://api.whatsapp.com/send?text=Sir:%20Apka%20Beta%20
Cigarette%20Pita%20Hai.%20
Aap%20Kabhi%20Use%20
Puchhte%20Nahi%20?%20
Sardar:%20Haan,%20
Puchhta%20Hu,%20Par%20Mujhe%20Kabhi%20Deta%20
Hi%20Nahi.."
742,"Ak dafa ak admi ki cycle choori ho gai, Tu us ny bazar mein onchi awaz sy kaha “Agar meri cycle na mili to main wohi kuch karoonga jo mere bhai ny kia tha”. “Ye sun kr choor cycle chorh kr bhag gya. Bad mein ak admi ny us sy pucha k thumhary bhai ny kya kia tha Tu wo bola”os ny nai cycle khareedi thi”...","https://api.whatsapp.com/send?text=Ak%20dafa%20ak%20admi%20ki%20cycle%20choori%20ho%20gai,
Tu%20us%20ny%20bazar%20mein%20onchi%20awaz%20sy%20kaha
“Agar%20meri%20cycle%20na%20mili%20to%20main%20wohi%20kuch%20karoonga%20jo%20mere%20bhai%20ny%20kia%20tha”.
“Ye%20sun%20kr%20choor%20cycle%20chorh%20kr%20bhag%20gya.
Bad%20mein%20ak%20admi%20ny%20us%20sy%20pucha%20k%20thumhary%20bhai%20ny%20kya%20kia%20tha
Tu%20wo%20bola”os%20ny%20nai%20cycle%20khareedi%20thi”..."
743,"Sardi se Bachny ka Tareeqa.. . . . . . . Pata Chalay to Mujhy Bhi Batana, Qasam se Bohat Sardi hai...;-)","https://api.whatsapp.com/send?text=Sardi%20se%20Bachny%20ka%20Tareeqa..

.

.

.

.

.

.

Pata%20Chalay%20to%20Mujhy%20Bhi%20Batana,

Qasam%20se%20Bohat%20Sardi%20hai...;-)"
744,"Signal per Car ruki to Ek Faqeer mangny aa gaya.. Car me bethi hui Aurat boli: Tumhari Shakal kuch jani Pehchani lagti hai. Faqeer bola: ""Madam, We Are Friends on Facebook""...;-)","https://api.whatsapp.com/send?text=Signal%20per%20Car%20ruki%20to%20Ek%20Faqeer%20mangny%20aa%20gaya..

Car%20me%20bethi%20hui%20Aurat%20boli:%20Tumhari%20Shakal%20kuch%20jani%20Pehchani%20lagti%20hai.


Faqeer%20bola:%20
""Madam,%20We%20Are%20Friends%20on%20Facebook""...;-)"
745,"Aaj Ki Nasal Ki ""Miyan Sahab"" se Guzarish..! Miyan Sahab, Daal Sasti na ho saky to koi Baat nahi, Lekin Ye Tinday Aur Shaljam Mehngi kerwado Plz, Ye Roz Roz Nahi Khai Jati...:-)","https://api.whatsapp.com/send?text=Aaj%20Ki%20Nasal%20Ki%20""Miyan%20Sahab""%20se%20Guzarish..!

Miyan%20Sahab,%20Daal%20Sasti%20na%20ho%20saky%20to%20koi%20Baat%20nahi,

Lekin

Ye%20Tinday%20Aur%20Shaljam

Mehngi%20kerwado%20Plz,

Ye%20Roz%20Roz%20Nahi%20Khai%20Jati...:-)"
746,"Masjid me Do Buzurg Bethy thy.. 1st Buzurg: Aap Kis k Mureed hen?? 2nd Buzurg: Me Apny Peer-o-Murshid ka Naam aisy nahi le sakta, Pehly Wuzu kerun ga, Phir Btaun ga. Masjid me Mojud sab log Intezar kerny lagy.. Buzurg ny Pehly Wuzu kiya, Phir 2 Rakaat Namaz Parh ker Dua Mangi, Phir Itna Roye k Daman Geela Ho gaya, Phir Intehai Aqeedat aur Ehtiram se Boly: ""Me Apni Bivi Ka Mureed Hun"" Masjid Me Sab Log Ek Zaban ho ker Boly: ""MaShaAllah, Aap to Apny hi Peer Bhai Niklay""...;-p:-D","https://api.whatsapp.com/send?text=Masjid%20me%20Do%20Buzurg%20Bethy%20thy..

1st%20Buzurg:%20Aap%20Kis%20k%20Mureed%20hen??

2nd%20Buzurg:%20Me%20Apny%20Peer-o-Murshid%20ka%20Naam%20aisy%20nahi%20le%20sakta,%20
Pehly%20Wuzu%20kerun%20ga,%20Phir%20Btaun%20ga.

Masjid%20me%20Mojud%20sab%20log%20Intezar%20kerny%20lagy..

Buzurg%20ny%20Pehly%20Wuzu%20kiya,%20Phir%202%20Rakaat%20Namaz%20Parh%20ker%20Dua%20Mangi,
Phir%20Itna%20Roye%20k%20Daman%20Geela%20Ho%20gaya,
Phir%20Intehai%20Aqeedat%20aur%20Ehtiram%20se%20Boly:

""Me%20Apni%20Bivi%20Ka%20Mureed%20Hun""

Masjid%20Me%20Sab%20Log%20Ek%20Zaban%20ho%20ker%20Boly:

""MaShaAllah,%20Aap%20to%20Apny%20hi%20Peer%20Bhai%20Niklay""...;-p:-D"
747,"Uthi thi Wo Fajar me Mujhy Mangny k liye Khuda se,, Paani Thanda Dekh ker Phir So Gai Wo..:-( (,"")/ <)( _//_ Kaash Us k Ghar me Geezer hota to Aaj Me Uska Hota..:-)","https://api.whatsapp.com/send?text=Uthi%20thi%20Wo%20Fajar%20me
Mujhy%20Mangny%20k%20liye%20Khuda%20se,,

Paani%20Thanda%20Dekh%20ker
Phir%20So%20Gai%20Wo..:-(

(,"")/
<)(
_//_

Kaash%20Us%20k%20Ghar%20me%20Geezer%20hota%20to
Aaj%20Me%20Uska%20Hota..:-)"
748,iPhone Aur Samsung me Ek hi Cheez Mushtarik hai Kon Si?? ? Nahi Pata?? Answer.. “Dono Hi Mere Paas Nahi Hen”…:-p,"https://api.whatsapp.com/send?text=iPhone%20Aur%20Samsung%20me%20Ek%20hi%20Cheez%20Mushtarik%20hai

Kon%20Si??

?

Nahi%20Pata??

Answer..

“Dono%20Hi%20Mere%20Paas%20Nahi%20Hen”…:-p"
749,"Sardar Chars Peety huwe Apni Bivi se : Tum Kon ho?? Bivi : Pagal ho gaye ho Sardar Ji, Apni Bivi ko bhool gaye?? Sardar : Oye, Nasha Her Gham Bhula Deta hai Baji....:-)","https://api.whatsapp.com/send?text=Sardar%20Chars%20Peety%20huwe%20Apni%20Bivi%20se%20:%20Tum%20Kon%20ho??

Bivi%20:%20Pagal%20ho%20gaye%20ho%20Sardar%20Ji,%20Apni%20Bivi%20ko%20bhool%20gaye??

Sardar%20:%20Oye,%20Nasha%20Her%20Gham%20Bhula%20Deta%20hai%20Baji....:-)"
750,"December Jab bhi Ata hai Yehi Anjaam hota hai, Kabhi Khansi, Kabhi Nazla, Kabhi Zukaam hota hai..;-)","https://api.whatsapp.com/send?text=December%20Jab%20bhi%20Ata%20hai%20Yehi%20Anjaam%20hota%20hai,

Kabhi%20Khansi,%20Kabhi%20Nazla,%20Kabhi%20Zukaam%20hota%20hai..;-)"
751,"Kahan Pe Ho? Reply Nahi Kerna Plzz.. Jahan bhi ho, Khush Raho Apny Kharchay per.:) Sab ko Send kero Aur dekho Kon Kahan Hai..:-)","https://api.whatsapp.com/send?text=Kahan%20Pe%20Ho?%20
Reply










Nahi%20Kerna%20Plzz..

Jahan%20bhi%20ho,
Khush%20Raho%20Apny%20Kharchay%20per.:)

Sab%20ko%20Send%20kero%20Aur%20dekho%20Kon%20Kahan%20Hai..:-)"
752,"Aye GULAB Apni Khushboo ko Mere Doston per ""Nachor"" de,, ""Ye Sardi k Mousam me Aksar Nahaya nahi kerty"" Naha liya kero Yaar...;-p Jumma Mubarak","https://api.whatsapp.com/send?text=Aye%20GULAB%20Apni%20Khushboo%20ko%20Mere%20Doston%20per%20""Nachor""%20de,,

""Ye%20Sardi%20k%20Mousam%20me%20Aksar%20Nahaya%20nahi%20kerty""

Naha%20liya%20kero%20Yaar...;-p

Jumma%20Mubarak"
753,PHATAN GHALTI SY SAMANDER ME GIR GIA . DHOBTE DHOBTE US K HATH ME MACHLI AA GAI. USAY PAKER KER BAHIR PHENKA OR KAHA JAO TUM TU APNA JAAN BACHAO … HAMARA ALLAH MALIK HAI...,"https://api.whatsapp.com/send?text=PHATAN%20GHALTI%20SY%20SAMANDER%20ME%20GIR%20GIA%20.
DHOBTE%20DHOBTE%20US%20K%20HATH%20ME%20MACHLI%20AA%20GAI.
USAY%20PAKER%20KER%20BAHIR%20PHENKA%20OR%20KAHA
JAO%20TUM%20TU%20APNA%20JAAN%20BACHAO%20…
HAMARA%20ALLAH%20MALIK%20HAI..."
754,"Raat ko Dair tak Jagny Wala her Insan Aashiq nahi hota,, Kuch Log Mere jese bhi hoty hen jo, , , Dopehar me So Jaty hen...:-)","https://api.whatsapp.com/send?text=Raat%20ko%20Dair%20tak%20Jagny%20Wala%20her%20Insan%20Aashiq%20nahi%20hota,,

Kuch%20Log%20Mere%20jese%20bhi%20hoty%20hen%20jo,

,
,

Dopehar%20me%20So%20Jaty%20hen...:-)"
755,"Sardar : Ye Bakra Q Zibah kiya?? Pathan : Hum ny Mannat manga tha wo pura ho gaya. Sardar : Kis Baat ki Mannat. Pathan : Hamara Murgi Gum huwa tha, Wo aaj Mil gaya hai..;-p:-)","https://api.whatsapp.com/send?text=Sardar%20:%20Ye%20Bakra%20Q%20Zibah%20kiya??

Pathan%20:%20Hum%20ny%20Mannat%20manga%20tha%20wo%20pura%20ho%20gaya.

Sardar%20:%20Kis%20Baat%20ki%20Mannat.

Pathan%20:%20Hamara%20Murgi%20Gum%20huwa%20tha,%20Wo%20aaj%20Mil%20gaya%20hai..;-p:-)"
756,"Khubsoorat Log Hamesha ye Q kehty hen k ""Me Abhi Busy hun""..? Socho.? ? ? ? ? ? Nahi Pata.? Haha Baad me Bataun ga.. ""Abhi Me Busy hun""...:-p","https://api.whatsapp.com/send?text=Khubsoorat%20Log%20Hamesha%20ye%20Q%20kehty%20hen%20k
""Me%20Abhi%20Busy%20hun""..?

Socho.?

?

?

?

?

?

Nahi%20Pata.?

Haha

Baad%20me%20Bataun%20ga..

""Abhi%20Me%20Busy%20hun""...:-p"
757,"Dentist: Apka daant nikaalna prega #Sheikh: paise lagenge? Dentist: 200. Shekh: ye lo 50, thora sa DHEELA kr do, nikaal mai lon ga..","https://api.whatsapp.com/send?text=Dentist:%20Apka%20daant%20nikaalna
prega%20#Sheikh:%20paise%20lagenge?%20Dentist:%20200.%20Shekh:%20ye%20lo%2050,
thora%20sa%20DHEELA%20kr%20do,%20nikaal%20mai
lon%20ga.."
758,"Boy (In Emotional Mood) : Mom, Zindagi me Kamyabi k liye kiya kerun?? ? Mom : Sab se Pehly Pathar le, Aur Apna Mobile Torr de...;-0 :-(","https://api.whatsapp.com/send?text=Boy%20(In%20Emotional%20Mood)%20:%20Mom,%20Zindagi%20me%20Kamyabi%20k%20liye%20kiya%20kerun??

?

Mom%20:%20Sab%20se%20Pehly%20Pathar%20le,

Aur%20Apna%20Mobile%20Torr%20de...;-0%20:-("
759,Father: beta tu ne engineering ke 4 saalon mein sab se mushkil kam kon sa sekha Son: bus ki chat per baith kar tez hawaon mein 1 teeli se 3 cigrette jalana 😉,"https://api.whatsapp.com/send?text=Father:%20beta%20tu%20ne%20engineering%20ke

4%20saalon%20mein%20sab%20se%20mushkil%20kam%20kon%20sa%20sekha

Son:%20bus%20ki%20chat%20per%20baith%20kar%20tez

hawaon%20mein%201%20teeli%20se%203%20cigrette%20jalana%20😉"
760,"Shadi k aglay Din Bivi Ghussy se : Subha Subha aap ny Mere Chehry per Paani Q Dala?? Shoher : Tere Baap ny kaha tha k, Meri Beti phool ki tarha hai, Isay Murjhany Mat dena...:-)","https://api.whatsapp.com/send?text=Shadi%20k%20aglay%20Din%20Bivi%20Ghussy%20se%20:%20Subha%20Subha%20aap%20ny%20Mere%20Chehry%20per%20Paani%20Q%20Dala??

Shoher%20:%20Tere%20Baap%20ny%20kaha%20tha%20k,

Meri%20Beti%20phool%20ki%20tarha%20hai,

Isay%20Murjhany%20Mat%20dena...:-)"
761,"Ek ""Khudkash"" Hamla Aawar ny ""Taliban Commander se Kaha : ""Sir Ji, Barood zara Kam dala kero, Pichli dafa Hamara Banda ""Jannat"" se 33 kilometer Aagay nikal gaya tha...:-)","https://api.whatsapp.com/send?text=Ek%20""Khudkash""%20Hamla%20Aawar%20ny%20""Taliban%20Commander%20se%20Kaha%20:

""Sir%20Ji,%20Barood%20zara%20Kam%20dala%20kero,

Pichli%20dafa%20Hamara%20Banda%20

""Jannat""%20se%20

33%20kilometer%20Aagay%20nikal%20gaya%20tha...:-)"
762,Aaj kal ke bacho ko kiya pata Struggle kiya hota hai Hmne toh woh waqt bi deka hai Jab S likhne ke liye 7 ko chaar Baar press kerna perta tha 😛,"https://api.whatsapp.com/send?text=Aaj%20kal%20ke%20bacho%20ko%20kiya%20pata

Struggle%20kiya%20hota%20hai

Hmne%20toh%20woh%20waqt%20bi%20deka%20hai

Jab%20S%20likhne%20ke%20liye%207%20ko%20chaar

Baar%20press%20kerna%20perta%20tha%20😛"
763,"Sardar Ki Roti per se ""Chuha"" Guzar gaya.. Sardar : BayBay, Me ny Roti nai khani. Maa : Kha le Puttar, Chuhy ny kon sa Jooty pehny huwe thy. . Sardar : Wah BayBay, Ye to Me ny Socha ee nai, Jaldi Salan la..:-)","https://api.whatsapp.com/send?text=Sardar%20Ki%20Roti%20per%20se%20""Chuha""%20Guzar%20gaya..

Sardar%20:%20BayBay,%20Me%20ny%20Roti%20nai%20khani.

Maa%20:%20Kha%20le%20Puttar,%20Chuhy%20ny%20kon%20sa%20Jooty%20pehny%20huwe%20thy.

.

Sardar%20:%20Wah%20BayBay,%20Ye%20to%20Me%20ny%20Socha%20ee%20nai,%20Jaldi%20Salan%20la..:-)"
764,"(( Sawal )) Ek Kamry me 400 Aadmi hen, Is me se D0 So gaye. Ab is Kamry me kitny Aadmi bachay..?? A- 400 B- 398 C- 200 D- 402 Reply Must..!","https://api.whatsapp.com/send?text=((%20Sawal%20))

Ek%20Kamry%20me%20400%20Aadmi%20hen,

Is%20me%20se%20D0%20So%20gaye.

Ab%20is%20Kamry%20me%20kitny%20Aadmi%20bachay..??


A-%20400

B-%20398

C-%20200

D-%20402

Reply%20Must..!"
765,"Ek Aurat Apni Parosan ko bata rahi thi k Doctor ny Mujhy Khana Pakany se mana kiya hai.. Parosan : Wo Q? Kiya Tum Beemar ho?? Aurat : Me nahi, Mere Shoher Beemar hen..:-)","https://api.whatsapp.com/send?text=Ek%20Aurat%20Apni%20Parosan%20ko%20bata%20rahi%20thi%20k

Doctor%20ny%20Mujhy%20Khana%20Pakany%20se%20mana%20kiya%20hai..


Parosan%20:%20Wo%20Q?%20Kiya%20Tum%20Beemar%20ho??


Aurat%20:%20Me%20nahi,%20Mere%20Shoher%20Beemar%20hen..:-)"
766,Girl On Date.. Girl : Tum kuch Aisa kaho k Mere Dil ki Dharkan Tez Ho Jaye. . Boy : . . . . . . BHAAaGOoo! Tumharay Papa Aa rahy hen..:-) ,"https://api.whatsapp.com/send?text=Girl%20On%20Date..

Girl%20:%20Tum%20kuch%20Aisa%20kaho%20k%20Mere%20Dil%20ki%20Dharkan%20Tez%20Ho%20Jaye.

.

Boy%20:%20

.
.
.
.
.
.

BHAAaGOoo!%20Tumharay%20Papa%20Aa%20rahy%20hen..:-)
"
767,"Pathan to Sardar : O Khocha! Tumhara Bivi aur Tum Ek hi Hospital me Job kerty ho kiya?? Sardar : Ji Khan Sahab! hum Hospital me Doctor hun, Aur Hamara Bivi Nurse hai. Pathan : To Tum Apni Bivi ko kiya keh ker Bulaty ho?? Sardar : Bas Khan Sahab, Kiya Bataun, Apni hi Bivi ko Hospital me SISTER kehna Parta Hai...;-(","https://api.whatsapp.com/send?text=Pathan%20to%20Sardar%20:%20O%20Khocha!%20Tumhara%20Bivi%20aur%20Tum%20Ek%20hi%20Hospital%20me%20Job%20kerty%20ho%20kiya??


Sardar%20:%20Ji%20Khan%20Sahab!%20hum%20Hospital%20me%20Doctor%20hun,

Aur%20Hamara%20Bivi%20Nurse%20hai.


Pathan%20:%20To%20Tum%20Apni%20Bivi%20ko%20kiya%20keh%20ker%20Bulaty%20ho??


Sardar%20:%20Bas%20Khan%20Sahab,%20Kiya%20Bataun,

Apni%20hi%20Bivi%20ko%20Hospital%20me%20SISTER%20kehna%20Parta%20Hai...;-("
768,"1 Pathan Dukaan Walay se : Aur Janab, Kese Ho?? Dukaan Wala : Bas Aapki Dua Chahiye. Pathan : Wo Hum Tum ko nahi de ga. Dukan Wala : Magar Q ?? Pathan : Q k Dua Hamara Beti hai...:-)","https://api.whatsapp.com/send?text=1%20Pathan%20Dukaan%20Walay%20se%20:

Aur%20Janab,%20Kese%20Ho??


Dukaan%20Wala%20:%20Bas%20Aapki%20Dua%20Chahiye.


Pathan%20:%20Wo%20Hum%20Tum%20ko%20nahi%20de%20ga.

Dukan%20Wala%20:%20Magar%20Q%20??


Pathan%20:%20Q%20k%20Dua%20Hamara%20Beti%20hai...:-)"
769,Sr. What's life. Student. Iife is a love Love is a wife Wife is a knife Knife is a you ,"https://api.whatsapp.com/send?text=Sr.%20What's%20life.%20

Student.
Iife%20is%20a%20love
Love%20is%20a%20wife
Wife%20is%20a%20knife
Knife%20is%20a%20you
"
770,"Ek Pathan Ek Larki ko Pasand kerta tha.. Bari Laraiyon aur Moushkilon k baad jab Pathan ki Shadi Us ki Pasand se Ho gai to, Rukhsati k Waqt Larki aur Us ki Maa Galay lag ker Rony lagy.. Pathan bhi Unhen dekh ker Rony lag gaya Aur Bohat Emotional ho ker Bola : . ""Gil Naz! Hum sab kuch Bardasht ker sakta hai, per Tumhari Aankhon me Aansu nahi. Tum Apny Maa Baap k Sath Khush raho, Hum Tumhen Talaq deta hai, Talaq, Talaq, Talaq....:-( . O Teri Khair, Pathan to Pathan, Us ki Mohabbat bhi Pathan..;-)","https://api.whatsapp.com/send?text=Ek%20Pathan%20Ek%20Larki%20ko%20Pasand%20kerta%20tha..

Bari%20Laraiyon%20aur%20Moushkilon%20k%20baad%20jab%20Pathan%20ki%20Shadi%20

Us%20ki%20Pasand%20se%20Ho%20gai%20to,


Rukhsati%20k%20Waqt%20Larki%20aur%20Us%20ki%20Maa

Galay%20lag%20ker%20Rony%20lagy..

Pathan%20bhi%20Unhen%20dekh%20ker%20Rony%20lag%20gaya%20Aur

Bohat%20Emotional%20ho%20ker%20Bola%20:

.

""Gil%20Naz!

Hum%20sab%20kuch%20Bardasht%20ker%20sakta%20hai,

per%20Tumhari%20Aankhon%20me%20Aansu%20nahi.

Tum%20Apny%20Maa%20Baap%20k%20Sath%20Khush%20raho,

Hum%20Tumhen%20Talaq%20deta%20hai,

Talaq,%20Talaq,%20Talaq....:-(

.

O%20Teri%20Khair,

Pathan%20to%20Pathan,

Us%20ki%20Mohabbat%20bhi%20Pathan..;-)"
771,"Hands Up..! Me Love Officer hun, UR Under Arrest, QK Jitny Piyary Aap ho, Itna Piyara hona Qanuni Jurm hai, Is liye Aap ko Mere Dil me Umar Qaid ki Saza di jati hai.. . . . . Pata Nahi Aisa msg Log Mujhy hi Q Send kerty hen? Aisi kiya baat hai Mujh Me..?:-) I Am So Sweet Naa..? (,"")> <)( _//_ Ammi Meri Nazar to Utaar den,,, Msg parhny Wala Jal raha hai..:-):-p Hahahaha","https://api.whatsapp.com/send?text=Hands%20Up..!

Me%20Love%20Officer%20hun,

UR%20Under%20Arrest,

QK%20Jitny%20Piyary%20Aap%20ho,

Itna%20Piyara%20hona%20Qanuni%20Jurm%20hai,

Is%20liye%20Aap%20ko%20Mere%20Dil%20me

Umar%20Qaid%20ki%20Saza%20di%20jati%20hai..

.

.

.

.

Pata%20Nahi%20Aisa%20msg%20Log%20Mujhy%20hi%20Q%20Send%20kerty%20hen?

Aisi%20kiya%20baat%20hai%20Mujh%20Me..?:-)

I%20Am%20So%20Sweet%20Naa..?

(,"")>
<)(
_//_

Ammi%20Meri%20Nazar%20to%20Utaar%20den,,,

Msg%20parhny%20Wala%20Jal%20raha%20hai..:-):-p

Hahahaha"
772,"A couple were arguing. Wife:u dont like anybody in my family Man:Not true,I like ur mother-in-law better than my mother-in-law!","https://api.whatsapp.com/send?text=A%20couple%20were%20arguing.

Wife:u%20dont%20like%20anybody%20in%20my%20family

Man:Not%20true,I%20like%20ur%20mother-in-law%20better%20than%20my%20mother-in-law!"
773,"Who said landline phones are out of fashion? Buy a samsung mobile, sara din charging mein laga rehta hai :P","https://api.whatsapp.com/send?text=Who%20said%20landline%20phones%20are%20out%20of%20fashion?

Buy%20a%20samsung%20mobile,

sara%20din%20charging%20mein%20laga%20rehta%20hai%20:P"
774,Pathan ny pehli bar roza rakha Dopehr mein nidhal ho geya or F.M Radio call ki Host boli: Gee Caller kya sun’na pasnd kren gy Pathan bola: hum ko maghrib ka Azan sunwa do…,https://api.whatsapp.com/send?text=Pathan%20ny%20pehli%20bar%20roza%20rakha%20Dopehr%20mein%20nidhal%20ho%20geya%20or%20F.M%20Radio%20call%20ki%20Host%20boli:%20Gee%20Caller%20kya%20sun’na%20pasnd%20kren%20gy%20Pathan%20bola:%20hum%20ko%20maghrib%20ka%20Azan%20sunwa%20do…
775,Teacher: Ak Acha Insaan wo ha jo dosron k kaam aye Student: Lekin Exam k Waqt Na To ap khud Ak Achi insan banti han or Na dosron ko Ak Acha Insaan Banne Deti Han…,https://api.whatsapp.com/send?text=Teacher:%20Ak%20Acha%20Insaan%20wo%20ha%20jo%20dosron%20k%20kaam%20aye%20Student:%20Lekin%20Exam%20k%20Waqt%20Na%20To%20ap%20khud%20Ak%20Achi%20insan%20banti%20han%20or%20Na%20dosron%20ko%20Ak%20Acha%20Insaan%20Banne%20Deti%20Han…
776,"I once told my parents I wanted a tattoo. . Got one the very next minute. A red coloured, chappal shaped tattoo, which lasted a whole week !!","https://api.whatsapp.com/send?text=I%20once%20told%20my%20parents%20I%20wanted%20a%20tattoo.
.

Got%20one%20the%20very%20next%20minute.
A%20red%20coloured,%20chappal%20shaped%20tattoo,%20which%20lasted%20a%20whole
week%20!!"
777,"Main to ye sun k hairaan hogaya. A dost. Jab chaat khaanay k baad chaat wale ne mujhe se kaha, ‘Please give us your feedback on our Facebook page’","https://api.whatsapp.com/send?text=Main%20to%20ye%20sun%20k%20hairaan%20hogaya.%20A%20dost.
Jab%20chaat%20khaanay%20k%20baad%20chaat%20wale%20ne%20mujhe%20se%20kaha,
‘Please%20give%20us%20your%20feedback%20on%20our%20Facebook%20page’"
778,he said to me:'I LOVE YOU':) i said.... oh my GOD!!!! what a co-incodence!:O i love my self too.... :p ,"https://api.whatsapp.com/send?text=he%20said%20to%20me:'I%20LOVE%20YOU':)

i%20said....

oh%20my%20GOD!!!!%20what%20a%20co-incodence!:O

i%20love%20my%20self%20too....%20:p%20"
779,"Shaadi Se Agle Din Patni GusseSe Pati Se Boli. Patni: “ Subah-Subah Mere Chehre Pe Pani Kyun Dala? ” . Pati: “ Tere Baap Ne Kaha Tha Ke Meri Beti Phool Ki Tarah Hai, Ise Murjhane Mat Dena :p","https://api.whatsapp.com/send?text=Shaadi%20Se%20Agle%20Din%20Patni%20GusseSe%20Pati%20Se%20Boli.
Patni:%20“%20Subah-Subah%20Mere%20Chehre%20Pe%20Pani%20Kyun%20Dala?%20”
.
Pati:%20“%20Tere%20Baap%20Ne%20Kaha%20Tha%20Ke%20Meri%20Beti%20Phool%20Ki%20Tarah%20Hai,%20Ise%20Murjhane%20Mat%20Dena%20:p"
780,Moment of the Silence 4 those boys: Jo Larki kay naam ke fake ID Bana ker larki say dosti ker laite hyn Or baad myn woh larki b larka niklata hy,"https://api.whatsapp.com/send?text=Moment%20of%20the%20Silence%204%20those%20boys:

Jo%20Larki%20kay%20naam%20ke%20fake%20ID

Bana%20ker%20larki%20say%20dosti%20ker%20laite%20hyn

Or%20baad%20myn%20woh%20larki%20b%20larka%20niklata%20hy"
781,Meera: Fruit walay shop par Mujh Potateos Fevr chaye Shopkeeper: Yeh potatoes fever kaya hota hy? Meera: u literacy people iska matlab hota hy Aalo Bukhara,"https://api.whatsapp.com/send?text=Meera:%20Fruit%20walay%20shop%20par

Mujh%20Potateos%20Fevr%20chaye

Shopkeeper:%20Yeh%20potatoes%20fever%20kaya%20hota%20hy?

Meera:%20u%20literacy%20people%20iska%20matlab%20hota%20hy

Aalo%20Bukhara"
